title,project_name,github_url,offcial,category
eBPF,eBPF Exporter,https://github.com/cloudflare/ebpf_exporter,0,Miscellaneous
Ceph,Ceph Exporter,https://github.com/digitalocean/ceph_exporter,0,Storage
Grok,Grok Exporter,https://github.com/fstab/grok_exporter,0,Logging
cAdvisor,cAdvisor Exporter,https://github.com/google/cadvisor,0,Miscellaneous
RabbitMQ,RabbitMQ Exporter,https://github.com/kbudde/rabbitmq_exporter,0,Messaging
Kong API Gateway,Kong Prometheus Plugin,https://github.com/Kong/kong-plugin-prometheus,0,Software
kube-state-metrics,kube-state-metrics,https://github.com/kubernetes/kube-state-metrics,0,Miscellaneous
System Process,Process Exporter,https://github.com/ncabatoff/process-exporter,0,Miscellaneous
NGINX,NGINX Exporter,https://github.com/nginxinc/nginx-prometheus-exporter,0,HTTP
NVIDIA GPU Monitoring Tools,NVIDIA GPU Monitoring Tools,https://github.com/NVIDIA/gpu-monitoring-tools,0,Hardware
Redis,Redis Metrics Exporter,https://github.com/oliver006/redis_exporter,0,Database
OpenStack,OpenStack Exporter,https://github.com/openstack-exporter/openstack-exporter,0,Miscellaneous
JSON,JSON Exporter,https://github.com/prometheus-community/json_exporter,0,Miscellaneous
Google Stackdriver,Google Stackdriver Exporter,https://github.com/prometheus-community/stackdriver_exporter,0,Monitoring
Windows system,Windows Exporter,https://github.com/prometheus-community/windows_exporter,0,Hardware
Blackbox,Blackbox Exporter,https://github.com/prometheus/blackbox_exporter,1,Miscellaneous
CloudWatch,CloudWatch Exporter,https://github.com/prometheus/cloudwatch_exporter,1,Monitoring
Collectd,Collectd Exporter,https://github.com/prometheus/collectd_exporter,1,Monitoring
Consul,Consul Exporter,https://github.com/prometheus/consul_exporter,1,Database
Graphite,Graphite Exporter,https://github.com/prometheus/graphite_exporter,1,Monitoring
HAProxy,HAProxy Exporter,https://github.com/prometheus/haproxy_exporter,1,HTTP
InfluxDB,InfluxDB Exporter,https://github.com/prometheus/influxdb_exporter,1,Database
JMX,JMX Exporter,https://github.com/prometheus/jmx_exporter,1,Monitoring
Memcached,Memcached Exporter,https://github.com/prometheus/memcached_exporter,1,Database
MySQL,MySQL Server Exporter,https://github.com/prometheus/mysqld_exporter,1,Database
Node Exporter,Node Exporter,https://github.com/prometheus/node_exporter,1,Hardware
SNMP,SNMP Exporter,https://github.com/prometheus/snmp_exporter,1,Monitoring
Statsd,Statsd Exporter,https://github.com/prometheus/statsd_exporter,1,Monitoring
Azure,Azure Metrics Exporter,https://github.com/RobustPerception/azure_metrics_exporter,0,Monitoring
PostgreSQL,PostgreSQL Server Exporter,https://github.com/wrouesnel/postgres_exporter,0,Database
Go Client,Go Client Library,https://github.com/prometheus/client_golang,1,Library
Java Client,Java Client Library,https://github.com/prometheus/client_java,1,Library
Python Client,Python Client Library,https://github.com/prometheus/client_python,1,Library
Ruby Client,Ruby Client Library,https://github.com/prometheus/client_ruby,1,Library
Push Gateway,Push Gateway,https://github.com/prometheus/pushgateway,1,Monitoring
k8s image availability,k8s-image-availability-exporter,https://github.com/flant/k8s-image-availability-exporter,0,Miscellaneous
Kubecost,Kubecost,https://github.com/kubecost/cost-model,0,Miscellaneous
dnsbl-exporter,dnsbl-exporter,https://github.com/Luzilla/dnsbl_exporter,0,Monitoring
Query exporter,query-exporter,https://github.com/go-gywn/query-exporter,0,Database
Elasticsearch Exporter,Elasticsearch Exporter,https://github.com/prometheus-community/elasticsearch_exporter,0,Database
